Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS2X1X.125,HSS2X1X1/8,–,2.20,,0.608,–,–,2.00,1.65,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,14.2,–,0.280,0.366,0.280,0.679,0.0922,0.223,0.184,0.390,–,–,–,0.238,–,0.380,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X25.4X3.2,HSS50.8X25.4X3.2,3.26,392,–,–,50.8,41.9,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,14.2,–,0.117,6.00,4.59,17.2,0.0384,3.65,3.02,9.91,–,–,–,99.1,–,6.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1-1/2X1-1/2X.125,HSS1-1/2X1-1/2X1/8,–,2.20,0.000,0.608,–,–,1.50,1.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.188,0.309,0.251,0.557,0.188,0.309,0.251,0.557,–,–,–,0.316,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS38.1X38.1X3.2,HSS38.1X38.1X3.2,3.27,392,–,–,38.1,29.2,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.0783,5.06,4.11,14.1,0.0783,5.06,4.11,14.1,–,–,–,132,–,7.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.66X.140,HSS1.660X0.140,–,2.27,0.070,0.625,–,–,–,–,1.66,–,–,–,–,–,–,–,–,–,–,–,0.140,0.130,–,–,–,–,–,–,–,–,–,–,–,–,–,12.8,0.184,0.305,0.222,0.543,0.184,0.305,0.222,0.543,–,–,–,0.368,–,0.444,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS42.2X3.6,HSS42.2X3.6,3.38,403,–,–,–,–,42.2,–,–,–,–,–,–,–,–,–,–,–,3.56,3.30,–,–,–,–,–,–,–,–,–,–,–,–,–,12.8,0.0766,5.00,3.64,13.8,0.0766,5.00,3.64,13.8,–,–,–,153,–,7.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.9X.120,HSS1.900X0.120,–,2.28,0.010,0.624,–,–,–,–,1.90,–,–,–,–,–,–,–,–,–,–,–,0.120,0.111,–,–,–,–,–,–,–,–,–,–,–,–,–,17.1,0.251,0.356,0.264,0.634,0.251,0.356,0.264,0.634,–,–,–,0.501,–,0.527,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS48.3X3.0,HSS48.3X3.0,3.40,403,–,–,–,–,48.3,–,–,–,–,–,–,–,–,–,–,–,3.05,2.82,–,–,–,–,–,–,–,–,–,–,–,–,–,17.1,0.104,5.83,4.33,16.1,0.104,5.83,4.33,16.1,–,–,–,209,–,8.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1X.125,HSS2-1/2X1X1/8,–,2.63,0.350,0.724,–,–,2.50,2.15,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,18.6,–,0.503,0.532,0.403,0.834,0.115,0.274,0.230,0.399,–,–,–,0.322,–,0.483,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X25.4X3.2,HSS63.5X25.4X3.2,3.90,467,–,–,63.5,54.6,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,18.6,–,0.209,8.72,6.60,21.2,0.0479,4.49,3.77,10.1,–,–,–,134,–,7.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X1-1/2X.125,HSS2X1-1/2X1/8,–,2.63,0.000,0.724,–,–,2.00,1.65,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,14.2,–,0.383,0.475,0.383,0.728,0.244,0.389,0.325,0.581,–,–,–,0.496,–,0.599,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X38.1X3.2,HSS50.8X38.1X3.2,3.90,467,–,–,50.8,41.9,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,14.2,–,0.159,7.78,6.28,18.5,0.102,6.37,5.33,14.8,–,–,–,206,–,9.82,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.9X.145,HSS1.900X0.145,–,2.72,0.090,0.749,–,–,–,–,1.90,–,–,–,–,–,–,–,–,–,–,–,0.145,0.135,–,–,–,–,–,–,–,–,–,–,–,–,–,14.1,0.293,0.421,0.309,0.626,0.293,0.421,0.309,0.626,–,–,–,0.586,–,0.617,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS48.3X3.7,HSS48.3X3.7,4.05,483,–,–,–,–,48.3,–,–,–,–,–,–,–,–,–,–,–,3.68,3.43,–,–,–,–,–,–,–,–,–,–,–,–,–,14.1,0.122,6.90,5.06,15.9,0.122,6.90,5.06,15.9,–,–,–,244,–,10.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.375X.125,HSS2.375X0.125,–,3.01,0.290,0.823,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,20.5,0.527,0.592,0.443,0.800,0.527,0.592,0.443,0.800,–,–,–,1.05,–,0.887,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X3.2,HSS60.3X3.2,4.47,531,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,20.5,0.219,9.70,7.26,20.3,0.219,9.70,7.26,20.3,–,–,–,437,–,14.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X1X.188,HSS2X1X3/16,–,3.04,0.030,0.845,–,–,2.00,1.48,–,–,–,1.00,0.478,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,2.75,–,8.49,–,0.350,0.480,0.350,0.643,0.112,0.288,0.225,0.365,–,–,–,0.301,–,0.505,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X25.4X4.8,HSS50.8X25.4X4.8,4.51,545,–,–,50.8,37.6,–,–,–,25.4,12.1,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,2.75,–,8.49,–,0.146,7.87,5.74,16.3,0.0466,4.72,3.69,9.27,–,–,–,125,–,8.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1-1/2X1-1/2X.188,HSS1-1/2X1-1/2X3/16,–,3.04,0.000,0.845,–,–,1.50,0.978,–,–,–,1.50,0.978,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,5.62,–,5.62,–,0.236,0.406,0.315,0.528,0.236,0.406,0.315,0.528,–,–,–,0.414,–,0.592,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS38.1X38.1X4.8,HSS38.1X38.1X4.8,4.52,545,–,–,38.1,24.8,–,–,–,38.1,24.8,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,5.62,–,5.62,–,0.0982,6.65,5.16,13.4,0.0982,6.65,5.16,13.4,–,–,–,172,–,9.70,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X1X.125,HSS3X1X1/8,–,3.05,0.010,0.840,–,–,3.00,2.65,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,22.9,–,0.817,0.728,0.545,0.987,0.138,0.325,0.276,0.405,–,–,–,0.408,–,0.585,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X25.4X3.2,HSS76.2X25.4X3.2,4.53,542,–,–,76.2,67.3,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,22.9,–,0.340,11.9,8.93,25.1,0.0574,5.33,4.52,10.3,–,–,–,170,–,9.59,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1-1/2X.125,HSS2-1/2X1-1/2X1/8,–,3.05,0.000,0.840,–,–,2.50,2.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,18.6,–,0.668,0.671,0.535,0.892,0.300,0.469,0.399,0.597,–,–,–,0.687,–,0.759,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X38.1X3.2,HSS63.5X38.1X3.2,4.53,542,–,–,63.5,54.6,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,18.6,–,0.278,11.0,8.77,22.7,0.125,7.69,6.54,15.2,–,–,–,286,–,12.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
