Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS2X1X.125,HSS2X1X1/8,–,2.20,,0.608,–,–,2.00,1.65,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,14.2,–,0.280,0.366,0.280,0.679,0.0922,0.223,0.184,0.390,–,–,–,0.238,–,0.380,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X25.4X3.2,HSS50.8X25.4X3.2,3.26,392,–,–,50.8,41.9,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,14.2,–,0.117,6.00,4.59,17.2,0.0384,3.65,3.02,9.91,–,–,–,99.1,–,6.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1X.125,HSS2-1/2X1X1/8,–,2.63,0.350,0.724,–,–,2.50,2.15,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,18.6,–,0.503,0.532,0.403,0.834,0.115,0.274,0.230,0.399,–,–,–,0.322,–,0.483,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X25.4X3.2,HSS63.5X25.4X3.2,3.90,467,–,–,63.5,54.6,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,18.6,–,0.209,8.72,6.60,21.2,0.0479,4.49,3.77,10.1,–,–,–,134,–,7.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X1-1/2X.125,HSS2X1-1/2X1/8,–,2.63,0.000,0.724,–,–,2.00,1.65,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,14.2,–,0.383,0.475,0.383,0.728,0.244,0.389,0.325,0.581,–,–,–,0.496,–,0.599,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X38.1X3.2,HSS50.8X38.1X3.2,3.90,467,–,–,50.8,41.9,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,14.2,–,0.159,7.78,6.28,18.5,0.102,6.37,5.33,14.8,–,–,–,206,–,9.82,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X1X.188,HSS2X1X3/16,–,3.04,0.030,0.845,–,–,2.00,1.48,–,–,–,1.00,0.478,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,2.75,–,8.49,–,0.350,0.480,0.350,0.643,0.112,0.288,0.225,0.365,–,–,–,0.301,–,0.505,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X25.4X4.8,HSS50.8X25.4X4.8,4.51,545,–,–,50.8,37.6,–,–,–,25.4,12.1,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,2.75,–,8.49,–,0.146,7.87,5.74,16.3,0.0466,4.72,3.69,9.27,–,–,–,125,–,8.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X1X.125,HSS3X1X1/8,–,3.05,0.010,0.840,–,–,3.00,2.65,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,22.9,–,0.817,0.728,0.545,0.987,0.138,0.325,0.276,0.405,–,–,–,0.408,–,0.585,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X25.4X3.2,HSS76.2X25.4X3.2,4.53,542,–,–,76.2,67.3,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,22.9,–,0.340,11.9,8.93,25.1,0.0574,5.33,4.52,10.3,–,–,–,170,–,9.59,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1-1/2X.125,HSS2-1/2X1-1/2X1/8,–,3.05,0.000,0.840,–,–,2.50,2.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,18.6,–,0.668,0.671,0.535,0.892,0.300,0.469,0.399,0.597,–,–,–,0.687,–,0.759,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X38.1X3.2,HSS63.5X38.1X3.2,4.53,542,–,–,63.5,54.6,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,18.6,–,0.278,11.0,8.77,22.7,0.125,7.69,6.54,15.2,–,–,–,286,–,12.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X1-1/2X.125,HSS3X1-1/2X1/8,–,3.48,0.040,0.956,–,–,3.00,2.65,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,22.9,–,1.06,0.895,0.706,1.05,0.355,0.550,0.474,0.610,–,–,–,0.886,–,0.920,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X38.1X3.2,HSS76.2X38.1X3.2,5.16,617,–,–,76.2,67.3,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,22.9,–,0.441,14.7,11.6,26.7,0.148,9.01,7.77,15.5,–,–,–,369,–,15.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X2X.125,HSS2-1/2X2X1/8,–,3.48,0.000,0.956,–,–,2.50,2.15,–,–,–,2.00,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,18.6,–,0.833,0.809,0.667,0.934,0.589,0.694,0.589,0.785,–,–,–,1.12,–,1.04,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X50.8X3.2,HSS63.5X50.8X3.2,5.16,617,–,–,63.5,54.6,–,–,–,50.8,41.9,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,14.2,–,18.6,–,0.347,13.3,10.9,23.7,0.245,11.4,9.65,19.9,–,–,–,466,–,17.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1X.188,HSS2-1/2X1X3/16,–,3.68,0.010,1.02,–,–,2.50,1.98,–,–,–,1.00,0.478,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,2.75,–,11.4,–,0.646,0.713,0.517,0.796,0.143,0.360,0.285,0.374,–,–,–,0.412,–,0.648,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X25.4X4.8,HSS63.5X25.4X4.8,5.46,658,–,–,63.5,50.3,–,–,–,25.4,12.1,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,2.75,–,11.4,–,0.269,11.7,8.47,20.2,0.0595,5.90,4.67,9.50,–,–,–,171,–,10.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X1-1/2X.188,HSS2X1-1/2X3/16,–,3.68,0.000,1.02,–,–,2.00,1.48,–,–,–,1.50,0.978,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,5.62,–,8.49,–,0.495,0.639,0.495,0.697,0.313,0.521,0.417,0.554,–,–,–,0.664,–,0.822,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X38.1X4.8,HSS50.8X38.1X4.8,5.46,658,–,–,50.8,37.6,–,–,–,38.1,24.8,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,5.62,–,8.49,–,0.206,10.5,8.11,17.7,0.130,8.54,6.83,14.1,–,–,–,276,–,13.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3-1/2X1-1/2X.125,HSS3-1/2X1-1/2X1/8,–,3.90,0.060,1.07,–,–,3.50,3.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,27.2,–,1.57,1.15,0.896,1.21,0.411,0.630,0.548,0.619,–,–,–,1.09,–,1.08,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS88.9X38.1X3.2,HSS88.9X38.1X3.2,5.80,690,–,–,88.9,80.0,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,27.2,–,0.653,18.8,14.7,30.7,0.171,10.3,8.98,15.7,–,–,–,454,–,17.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X2X.125,HSS3X2X1/8,–,3.90,0.000,1.07,–,–,3.00,2.65,–,–,–,2.00,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,22.9,–,1.30,1.06,0.867,1.10,0.692,0.803,0.692,0.804,–,–,–,1.47,–,1.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X50.8X3.2,HSS76.2X50.8X3.2,5.80,690,–,–,76.2,67.3,–,–,–,50.8,41.9,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,14.2,–,22.9,–,0.541,17.4,14.2,27.9,0.288,13.2,11.3,20.4,–,–,–,612,–,20.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X1X.188,HSS3X1X3/16,–,4.32,0.210,1.19,–,–,3.00,2.48,–,–,–,1.00,0.478,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,2.75,–,14.2,–,1.07,0.989,0.713,0.947,0.173,0.432,0.345,0.380,–,–,–,0.526,–,0.792,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X25.4X4.8,HSS76.2X25.4X4.8,6.41,768,–,–,76.2,63.0,–,–,–,25.4,12.1,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,2.75,–,14.2,–,0.445,16.2,11.7,24.1,0.0720,7.08,5.65,9.65,–,–,–,219,–,13.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X1-1/2X.188,HSS2-1/2X1-1/2X3/16,–,4.32,0.000,1.19,–,–,2.50,1.98,–,–,–,1.50,0.978,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,5.62,–,11.4,–,0.882,0.915,0.705,0.860,0.390,0.636,0.520,0.572,–,–,–,0.929,–,1.05,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X38.1X4.8,HSS63.5X38.1X4.8,6.41,768,–,–,63.5,50.3,–,–,–,38.1,24.8,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,5.62,–,11.4,–,0.367,15.0,11.6,21.8,0.162,10.4,8.52,14.5,–,–,–,387,–,17.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4X1-1/2X.125,HSS4X1-1/2X1/8,–,4.33,0.010,1.19,–,–,4.00,3.65,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,31.5,–,2.21,1.43,1.11,1.36,0.467,0.710,0.622,0.627,–,–,–,1.30,–,1.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS101.6X38.1X3.2,HSS101.6X38.1X3.2,6.44,768,–,–,102,92.7,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,31.5,–,0.920,23.4,18.2,34.5,0.194,11.6,10.2,15.9,–,–,–,541,–,20.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
