Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS1.66X.140,HSS1.660X0.140,–,2.27,0.070,0.625,–,–,–,–,1.66,–,–,–,–,–,–,–,–,–,–,–,0.140,0.130,–,–,–,–,–,–,–,–,–,–,–,–,–,12.8,0.184,0.305,0.222,0.543,0.184,0.305,0.222,0.543,–,–,–,0.368,–,0.444,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS42.2X3.6,HSS42.2X3.6,3.38,403,–,–,–,–,42.2,–,–,–,–,–,–,–,–,–,–,–,3.56,3.30,–,–,–,–,–,–,–,–,–,–,–,–,–,12.8,0.0766,5.00,3.64,13.8,0.0766,5.00,3.64,13.8,–,–,–,153,–,7.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.9X.120,HSS1.900X0.120,–,2.28,0.010,0.624,–,–,–,–,1.90,–,–,–,–,–,–,–,–,–,–,–,0.120,0.111,–,–,–,–,–,–,–,–,–,–,–,–,–,17.1,0.251,0.356,0.264,0.634,0.251,0.356,0.264,0.634,–,–,–,0.501,–,0.527,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS48.3X3.0,HSS48.3X3.0,3.40,403,–,–,–,–,48.3,–,–,–,–,–,–,–,–,–,–,–,3.05,2.82,–,–,–,–,–,–,–,–,–,–,–,–,–,17.1,0.104,5.83,4.33,16.1,0.104,5.83,4.33,16.1,–,–,–,209,–,8.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.9X.145,HSS1.900X0.145,–,2.72,0.090,0.749,–,–,–,–,1.90,–,–,–,–,–,–,–,–,–,–,–,0.145,0.135,–,–,–,–,–,–,–,–,–,–,–,–,–,14.1,0.293,0.421,0.309,0.626,0.293,0.421,0.309,0.626,–,–,–,0.586,–,0.617,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS48.3X3.7,HSS48.3X3.7,4.05,483,–,–,–,–,48.3,–,–,–,–,–,–,–,–,–,–,–,3.68,3.43,–,–,–,–,–,–,–,–,–,–,–,–,–,14.1,0.122,6.90,5.06,15.9,0.122,6.90,5.06,15.9,–,–,–,244,–,10.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.375X.125,HSS2.375X0.125,–,3.01,0.290,0.823,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,20.5,0.527,0.592,0.443,0.800,0.527,0.592,0.443,0.800,–,–,–,1.05,–,0.887,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X3.2,HSS60.3X3.2,4.47,531,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,20.5,0.219,9.70,7.26,20.3,0.219,9.70,7.26,20.3,–,–,–,437,–,14.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.5X.125,HSS2.500X0.125,–,3.17,0.120,0.869,–,–,–,–,2.50,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,21.6,0.619,0.660,0.495,0.844,0.619,0.660,0.495,0.844,–,–,–,1.24,–,0.990,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X3.2,HSS63.5X3.2,4.72,561,–,–,–,–,63.5,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,21.6,0.258,10.8,8.11,21.4,0.258,10.8,8.11,21.4,–,–,–,516,–,16.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1.9X.188,HSS1.900X0.188,–,3.44,0.270,0.943,–,–,–,–,1.90,–,–,–,–,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,–,–,–,10.9,0.355,0.520,0.374,0.613,0.355,0.520,0.374,0.613,–,–,–,0.710,–,0.747,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS48.3X4.8,HSS48.3X4.8,5.12,608,–,–,–,–,48.3,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,10.9,0.148,8.52,6.13,15.6,0.148,8.52,6.13,15.6,–,–,–,296,–,12.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.375X.154,HSS2.375X0.154,–,3.66,0.180,1.00,–,–,–,–,2.38,–,–,–,–,–,–,–,–,–,–,–,0.154,0.143,–,–,–,–,–,–,–,–,–,–,–,–,–,16.6,0.627,0.713,0.528,0.791,0.627,0.713,0.528,0.791,–,–,–,1.25,–,1.06,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS60.3X3.9,HSS60.3X3.9,5.44,645,–,–,–,–,60.3,–,–,–,–,–,–,–,–,–,–,–,3.91,3.63,–,–,–,–,–,–,–,–,–,–,–,–,–,16.6,0.261,11.7,8.65,20.1,0.261,11.7,8.65,20.1,–,–,–,520,–,17.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2.875X.125,HSS2.875X0.125,–,3.67,0.010,1.01,–,–,–,–,2.88,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,24.8,0.958,0.884,0.667,0.976,0.958,0.884,0.667,0.976,–,–,–,1.92,–,1.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS73X3.2,HSS73X3.2,5.47,652,–,–,–,–,73.0,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,24.8,0.399,14.5,10.9,24.8,0.399,14.5,10.9,24.8,–,–,–,799,–,21.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X.125,HSS3.000X0.125,–,3.84,0.130,1.05,–,–,–,–,3.00,–,–,–,–,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,–,–,–,25.9,1.09,0.965,0.730,1.02,1.09,0.965,0.730,1.02,–,–,–,2.19,–,1.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X3.2,HSS76.2X3.2,5.72,677,–,–,–,–,76.2,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,25.9,0.454,15.8,12.0,25.9,0.454,15.8,12.0,25.9,–,–,–,912,–,23.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X.134,HSS3.000X0.134,–,4.11,0.210,1.12,–,–,–,–,3.00,–,–,–,–,–,–,–,–,–,–,–,0.134,0.124,–,–,–,–,–,–,–,–,–,–,–,–,–,24.2,1.16,1.03,0.774,1.02,1.16,1.03,0.774,1.02,–,–,–,2.32,–,1.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X3.4,HSS76.2X3.4,6.11,723,–,–,–,–,76.2,–,–,–,–,–,–,–,–,–,–,–,3.40,3.15,–,–,–,–,–,–,–,–,–,–,–,–,–,24.2,0.483,16.9,12.7,25.9,0.483,16.9,12.7,25.9,–,–,–,966,–,25.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
