Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS1-1/2X1-1/2X.125,HSS1-1/2X1-1/2X1/8,–,2.20,0.000,0.608,–,–,1.50,1.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.188,0.309,0.251,0.557,0.188,0.309,0.251,0.557,–,–,–,0.316,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS38.1X38.1X3.2,HSS38.1X38.1X3.2,3.27,392,–,–,38.1,29.2,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.0783,5.06,4.11,14.1,0.0783,5.06,4.11,14.1,–,–,–,132,–,7.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1-1/2X1-1/2X.188,HSS1-1/2X1-1/2X3/16,–,3.04,0.000,0.845,–,–,1.50,0.978,–,–,–,1.50,0.978,–,–,–,–,–,–,–,0.188,0.174,–,–,–,–,–,–,–,–,–,–,5.62,–,5.62,–,0.236,0.406,0.315,0.528,0.236,0.406,0.315,0.528,–,–,–,0.414,–,0.592,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS38.1X38.1X4.8,HSS38.1X38.1X4.8,4.52,545,–,–,38.1,24.8,–,–,–,38.1,24.8,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,5.62,–,5.62,–,0.0982,6.65,5.16,13.4,0.0982,6.65,5.16,13.4,–,–,–,172,–,9.70,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X2X.125,HSS2X2X1/8,–,3.05,0.000,0.840,–,–,2.00,1.65,–,–,–,2.00,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,0.486,0.584,0.486,0.761,0.486,0.584,0.486,0.761,–,–,–,0.796,–,0.817,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X50.8X3.2,HSS50.8X50.8X3.2,4.53,542,–,–,50.8,41.9,–,–,–,50.8,41.9,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,0.202,9.57,7.96,19.3,0.202,9.57,7.96,19.3,–,–,–,331,–,13.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/4X2-1/4X.125,HSS2-1/4X2-1/4X1/8,–,3.48,0.000,0.956,–,–,2.25,1.90,–,–,–,2.25,1.90,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,0.712,0.755,0.633,0.863,0.712,0.755,0.633,0.863,–,–,–,1.15,–,1.05,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS57.2X57.2X3.2,HSS57.2X57.2X3.2,5.16,617,–,–,57.2,48.3,–,–,–,57.2,48.3,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,16.4,–,16.4,–,0.296,12.4,10.4,21.9,0.296,12.4,10.4,21.9,–,–,–,479,–,17.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS1-1/2X1-1/2X.250,HSS1-1/2X1-1/2X1/4,–,3.71,0.030,1.040,–,–,1.50,0.801,–,–,–,1.50,0.801,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,3.44,–,3.44,–,0.260,0.469,0.346,0.500,0.260,0.469,0.346,0.500,–,–,–,0.470,–,0.699,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS38.1X38.1X6.4,HSS38.1X38.1X6.4,5.52,671,–,–,38.1,20.3,–,–,–,38.1,20.3,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,3.44,–,3.44,–,0.108,7.69,5.67,12.7,0.108,7.69,5.67,12.7,–,–,–,196,–,11.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X2-1/2X.125,HSS2-1/2X2-1/2X1/8,–,3.90,0.000,1.07,–,–,2.50,2.15,–,–,–,2.50,2.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,18.6,–,18.6,–,0.998,0.947,0.799,0.965,0.998,0.947,0.799,0.965,–,–,–,1.61,–,1.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X63.5X3.2,HSS63.5X63.5X3.2,5.80,690,–,–,63.5,54.6,–,–,–,63.5,54.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,18.6,–,18.6,–,0.415,15.5,13.1,24.5,0.415,15.5,13.1,24.5,–,–,–,670,–,21.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X2X.188,HSS2X2X3/16,–,4.32,0.000,1.19,–,–,2.00,1.48,–,–,–,2.00,1.48,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,8.49,–,8.49,–,0.641,0.797,0.641,0.733,0.641,0.797,0.641,0.733,–,–,–,1.09,–,1.14,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X50.8X4.8,HSS50.8X50.8X4.8,6.40,768,–,–,50.8,37.6,–,–,–,50.8,37.6,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,8.49,–,8.49,–,0.267,13.1,10.5,18.6,0.267,13.1,10.5,18.6,–,–,–,454,–,18.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3X3X.125,HSS3X3X1/8,–,4.75,0.000,1.30,–,–,3.00,2.65,–,–,–,3.00,2.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,22.9,–,22.9,–,1.78,1.40,1.19,1.17,1.78,1.40,1.19,1.17,–,–,–,2.84,–,1.92,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS76.2X76.2X3.2,HSS76.2X76.2X3.2,7.06,839,–,–,76.2,67.3,–,–,–,76.2,67.3,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,22.9,–,22.9,–,0.741,22.9,19.5,29.7,0.741,22.9,19.5,29.7,–,–,–,1180,–,31.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/4X2-1/4X.188,HSS2-1/4X2-1/4X3/16,–,4.96,0.000,1.37,–,–,2.25,1.73,–,–,–,2.25,1.73,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.953,1.04,0.847,0.835,0.953,1.04,0.847,0.835,–,–,–,1.60,–,1.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS57.2X57.2X4.8,HSS57.2X57.2X4.8,7.35,884,–,–,57.2,43.9,–,–,–,57.2,43.9,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.397,17.0,13.9,21.2,0.397,17.0,13.9,21.2,–,–,–,666,–,24.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X2X.250,HSS2X2X1/4,–,5.41,0.000,1.51,–,–,2.00,1.30,–,–,–,2.00,1.30,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,5.58,–,5.58,–,0.747,0.964,0.747,0.704,0.747,0.964,0.747,0.704,–,–,–,1.31,–,1.41,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X50.8X6.4,HSS50.8X50.8X6.4,8.00,974,–,–,50.8,33.0,–,–,–,50.8,33.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,5.58,–,5.58,–,0.311,15.8,12.2,17.9,0.311,15.8,12.2,17.9,–,–,–,545,–,23.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
