Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS1-1/2X1-1/2X.125,HSS1-1/2X1-1/2X1/8,–,2.20,0.000,0.608,–,–,1.50,1.15,–,–,–,1.50,1.15,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.188,0.309,0.251,0.557,0.188,0.309,0.251,0.557,–,–,–,0.316,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS38.1X38.1X3.2,HSS38.1X38.1X3.2,3.27,392,–,–,38.1,29.2,–,–,–,38.1,29.2,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.0783,5.06,4.11,14.1,0.0783,5.06,4.11,14.1,–,–,–,132,–,7.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2X1X.125,HSS2X1X1/8,–,2.20,,0.608,–,–,2.00,1.65,–,–,–,1.00,0.652,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,5.62,–,14.2,–,0.280,0.366,0.280,0.679,0.0922,0.223,0.184,0.390,–,–,–,0.238,–,0.380,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS50.8X25.4X3.2,HSS50.8X25.4X3.2,3.26,392,–,–,50.8,41.9,–,–,–,25.4,16.6,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,5.62,–,14.2,–,0.117,6.00,4.59,17.2,0.0384,3.65,3.02,9.91,–,–,–,99.1,–,6.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/4X2-1/4X.188,HSS2-1/4X2-1/4X3/16,–,4.96,0.000,1.37,–,–,2.25,1.73,–,–,–,2.25,1.73,–,–,–,–,–,–,–,0.1875,0.174,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.953,1.04,0.847,0.835,0.953,1.04,0.847,0.835,–,–,–,1.60,–,1.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS57.2X57.2X4.8,HSS57.2X57.2X4.8,7.35,884,–,–,57.2,43.9,–,–,–,57.2,43.9,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,9.93,–,9.93,–,0.397,17.0,13.9,21.2,0.397,17.0,13.9,21.2,–,–,–,666,–,24.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS2-1/2X2-1/2X.313,HSS2-1/2X2-1/2X5/16,–,8.45,0.000,2.35,–,–,2.50,1.63,–,–,–,2.50,1.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,5.59,–,5.59,–,1.82,1.88,1.46,0.880,1.82,1.88,1.46,0.880,–,–,–,3.20,–,2.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS63.5X63.5X7.9,HSS63.5X63.5X7.9,12.5,1520,–,–,63.5,41.4,–,–,–,63.5,41.4,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,5.59,–,5.59,–,0.758,30.8,23.9,22.4,0.758,30.8,23.9,22.4,–,–,–,1330,–,44.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3-1/2X2X.125,HSS3-1/2X2X1/8,–,4.33,0.000,1.19,–,–,3.50,3.15,–,–,–,2.00,1.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,14.2,–,27.2,–,1.90,1.34,1.09,1.27,0.795,0.912,0.795,0.818,–,–,–,1.83,–,1.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS88.9X50.8X3.2,HSS88.9X50.8X3.2,6.43,768,–,–,88.9,80.0,–,–,–,50.8,41.9,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,14.2,–,27.2,–,0.791,22.0,17.9,32.3,0.331,14.9,13.0,20.8,–,–,–,762,–,24.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS3-1/2X2-1/2X.313,HSS3-1/2X2-1/2X5/16,–,10.58,0.000,2.94,–,–,3.50,2.63,–,–,–,2.50,1.63,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,5.59,–,9.03,–,4.34,3.20,2.48,1.22,2.54,2.52,2.03,0.930,–,–,–,5.53,–,4.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS88.9X63.5X7.9,HSS88.9X63.5X7.9,15.6,1900,–,–,88.9,66.8,–,–,–,63.5,41.4,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,5.59,–,9.03,–,1.81,52.5,40.7,30.9,1.06,41.4,33.3,23.6,–,–,–,2300,–,66.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4X4X.125,HSS4X4X1/8,–,6.46,0.000,1.77,–,–,4.00,3.65,–,–,–,4.00,3.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,4.40,2.56,2.20,1.58,4.40,2.56,2.20,1.58,–,–,–,6.91,–,3.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS101.6X101.6X3.2,HSS101.6X101.6X3.2,9.59,1140,–,–,102,92.7,–,–,–,102,92.7,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,31.5,–,31.5,–,1.83,42.0,36.1,40.1,1.83,42.0,36.1,40.1,–,–,–,2880,–,57.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4X4X.250,HSS4X4X1/4,–,12.21,0.000,3.37,–,–,4.00,3.30,–,–,–,4.00,3.30,–,–,–,–,–,–,–,0.250,0.233,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,7.80,4.69,3.90,1.52,7.80,4.69,3.90,1.52,–,–,–,12.8,–,6.56,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS101.6X101.6X6.4,HSS101.6X101.6X6.4,18.1,2170,–,–,102,83.8,–,–,–,102,83.8,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,14.2,–,14.2,–,3.25,76.9,63.9,38.6,3.25,76.9,63.9,38.6,–,–,–,5330,–,107,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS6X3X.125,HSS6X3X1/8,–,7.31,0.000,2.00,–,–,6.00,5.65,–,–,–,3.00,2.65,–,–,–,–,–,–,–,0.125,0.116,–,–,–,–,–,–,–,–,–,–,22.9,–,48.7,–,9.43,3.87,3.14,2.17,3.23,2.40,2.15,1.27,–,–,–,7.73,–,3.93,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS152.4X76.2X3.2,HSS152.4X76.2X3.2,10.9,1290,–,–,152,144,–,–,–,76.2,67.3,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,22.9,–,48.7,–,3.93,63.4,51.5,55.1,1.34,39.3,35.2,32.3,–,–,–,3220,–,64.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS4X4X.500,HSS4X4X1/2,–,21.63,0.000,6.02,–,–,4.00,2.60,–,–,–,4.00,2.60,–,–,–,–,–,–,–,0.500,0.465,–,–,–,–,–,–,–,–,–,–,5.60,–,5.60,–,11.9,7.70,5.97,1.41,11.9,7.70,5.97,1.41,–,–,–,21.0,–,11.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS101.6X101.6X12.7,HSS101.6X101.6X12.7,32.0,3880,–,–,102,66.0,–,–,–,102,66.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,5.60,–,5.60,–,4.95,126,97.8,35.8,4.95,126,97.8,35.8,–,–,–,8740,–,184,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
